task,agent,run,test_state,0,1,2,3,4,5
0,INQUIRE,0,0,0.0,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,1,0,0.0,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,2,0,1.0,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,3,0,0.6098335964011643,0.8702735999140513,1.0,1.0,1.0,1.0
0,INQUIRE,4,0,0.40943211906016913,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,5,0,0.18823181679928613,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,6,0,0.0,1.0,1.0,1.0,1.0,1.0
0,INQUIRE,7,0,0.0,0.6098335964011643,1.0,1.0,1.0,1.0
0,INQUIRE,8,0,0.6827946078346654,0.8702735999140513,1.0,1.0,1.0,1.0
0,INQUIRE,9,0,0.0,1.0,1.0,1.0,1.0,1.0
